Well_Id	Induction	Rel_Cell_Count	Compound_Id	Ref_Id	RefCpd_Id	Similarity	Induction_Ref	Conc_uM_Ref	Rel_Cell_Count_Ref	Trivial_Name_Ref	Known_Act_Ref	Chiral_Ref	Smiles_Ref
168309:01:07_10.00	12.1	104	168309	317004:02:10_10.00	317004	84.8	34.5	10.0	90	Smoothib	antagonist of the protein smoothened (SMO).; Angew. Chem. Int. Ed. 2017, 56, 13021	False	Cc1ccc(Cn2[nH]cc3nc(-c4ccc(N5CCN(C(=O)CCc6c[nH]c7ccccc67)CC5)cc4)nc2-3)cc1
168309:01:07_10.00	12.1	104	168309	246846:01:05_30.00	246846	84.5	33.0	30.0	100	Loxapine (succinate)	Loxapine Succinate is a D2DR and D4DR inhibitor, serotonergic receptor antagonist and also a dibenzoxazepine anti-psychotic agent.IC50 value: Target: D2DR/D4DR; 5-HT receptorin vitro: In the presence of Loxapine, [3H]ketanserin binds to 5-HT2 receptor in Frontal cortex of brain in human and bovine with ki value of 6.2 nM and 6.6 nM, respectively. Loxapine has the rank order of potency for the various receptors appears to be as follows:5-HT2D4&gt;&gt;&gt;D1&gt;D2 in comparing competition experiments involving the human membranes . Loxapine 0.2 uM, 2 uM and 20 uM reduces IL-1beta secretion by LPS-activated mixed glia cultures after 1 and 3 days of exposure. Loxapine in concentrations of 0.2 uM, 2 uM and 20 uM reduces IL-2 secretion in mixed glia cultures after 1 and 3 days of exposure, and additionally Loxapine decreases IL-1beta and IL-2 secretion in LPS-induced microglia cultures in concentrations of 2 uM, 10 uM and 20 uM .in vivo: Loxapine (5 mg/kg) induces a very significant reduction (more than 50%) of serotonin (S2) receptor density after 4 weeks or 10 weeks of daily injection in the rat. Loxapine (5 mg/kg) does not change dopamine receptor density but greatly reduces serotonin receptor density by 47% in the brain of rats .	False	CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1
168309:01:07_10.00	12.1	104	168309	280732:01:03_30.00	280732	84.5	49.1	30.0	97	Gallopamil (hydrochloride)	Gallopamil hydrochloride (Methoxyverapamil hydrochloride), a methoxy derivative of Verapamil, is a phenylalkylamine calcium antagonist. Gallopamil hydrochloride inhibits acid secretion in a concentration-dependent manner with an IC50 of 10.9 uM. Gallopamil hydrochloride is a potent antiarrhythmic and vasodilator agent.	False	COc1ccc(CCN(C)CCCC(C#N)(c2cc(OC)c(OC)c(OC)c2)C(C)C)cc1OC
168309:01:07_10.00	12.1	104	168309	246742:01:04_30.00	246742	84.3	24.4	30.0	101	Amoxapine	Amoxapine is a tetracyclic antidepressant of the dibenzoxazepine family, though it is often classified as a secondary amine tricyclic antidepressant.	False	Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
168309:01:07_10.00	12.1	104	168309	410708:01:04_06.00	410708	84.2	31.6	6.0	98	AM1241	AM-1241 is a selective cannabinoid CB2 receptor agonist with Ki of 3.4 nM, exhibits 82-fold selectivity over CB1 receptor.	False	CN1CCCCC1Cn1cc(C(=O)c2cc([N+](=O)[O-])ccc2I)c2ccccc21
168309:01:07_10.00	12.1	104	168309	280823:01:05_10.00	280823	84.1	9.0	10.0	114	Propranolol (hydrochloride)	Propranolol hydrochloride is a nonselective .b.-adrenergic receptor (.b.AR) antagonist, has high affinity for the .b.1AR and .b.2AR with Ki values of 1.8 nM and 0.8 nM, respectively. Propranolol hydrochloride inhibits [3H]-DHA binding to rat brain membrane preparation with an IC50 of 12 nM. Propranolol hydrochloride is used for study of hypertension, pheochromocytoma, myocardial infarction, cardiac arrhythmias, angina pectoris, and hypertrophic cardiomyopathy.	False	CC(C)NCC(O)COc1cccc2ccccc12
168309:01:07_10.00	12.1	104	168309	413171:01:02_03.00	413171	84.0	37.5	3.0	107		negative control to GSM1	True	COc1cc(-c2cn([C@H]3CCc4ccccc4N(CC(F)(F)F)C3=O)nn2)ccc1-n1ccc(C)n1
168309:01:07_10.00	12.1	104	168309	280309:01:03_30.00	280309	82.8	34.5	30.0	95	Benoxathian hydrochloride	selective alpha1 adrenoceptor antagonist.	False	COc1cccc(OC)c1OCCNCC1CSc2ccccc2O1
168309:01:07_10.00	12.1	104	168309	409831:01:04_01.00	409831	82.6	34.9	1.0	103	JQEZ5	JQEZ5 is a potent and selective EZH2 lysine methyltransferase inhibitor. JQEZ5 SAM-competitive inhibition of polycomb repressive complex 2 (PRC2) with an IC50 of 80 nM. JQEZ5 has anti-tumor effects.	False	CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccc(N3CCN(C)CC3)nc2)nc2c1cnn2C(C)C
168309:01:07_10.00	12.1	104	168309	413221:01:03_10.00	413221	82.1	29.2	10.0	104	Conivaptan (hydrochloride)	Conivaptan (hydrochloride) is a non-peptide antagonist of vasopressin receptor, with Ki values of 0.48 and 3.04 nM for rat liver V1A receptor and rat kidney V2 receptor respectively.	False	Cc1nc2c([nH]1)-c1ccccc1N(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)CC2
